"goal","2012","2013","2014","2015"
"Index",69.06,69.53,69.53,69.97
"AO",67.32,67.75,67.86,67.86
"SPP",85.84,85.86,85.87,85.86
"BD",88.18,88.25,88.26,88.27
"HAB",90.53,90.64,90.66,90.67
"CP",87.61,87.53,87.51,87.47
"CS",79.34,79.34,79.37,79.38
"CW",74.21,74.03,73.98,74.17
"ECO",81.26,87.78,87.79,87.8
"LE",77.98,82.24,82.25,82.26
"LIV",74.7,76.7,76.71,76.71
"FIS",58.64,58.92,58.93,58.92
"FP",57.86,58.07,58.05,57.95
"MAR",25.43,26.12,26.4,26.62
"ICO",58.43,58.45,58.46,58.45
"SP",57.98,58.95,59.14,59.22
"LSP",58.03,59.95,60.16,60.35
"NP",52.9,53.04,51.99,52
"TR",47.09,45.23,45.66,49.7
