"eez_nam","demersal_destructive_fishing","demersal_nondest_high_bycatch","demersal_nondest_low_bycatch","global_cumulative_impact_dif.gri","night_lights","oil_rigs","pelagic_high_bycatch","pelagic_low_bycatch","plumes_fert","plumes_pest","population","uv","sst"
"Mozambique",-0.0123662760877863,-0.00163205769021224,-0.00158241527015708,1.03611728534977,7.31838512329645e-06,0,-0.00056395561248156,-0.000721602024947699,0.00146499658394584,-1.9420100070323e-05,2.10363086686062e-05,0.0472890539521602,1.00937692430679
"RŽpublique du Congo",0.00559091980219539,0.00817952663841355,0.00247521441363222,0.856604569558877,2.27560567693198e-05,-0.000607006244645971,0.0180749001418298,0.000247236761653294,0.000163670493729659,2.98570594577266e-05,0.000152422614398963,-0.0102724220614772,0.836120072446681
"Peru",-0.0140201192257809,-0.00721117663806263,-0.017630881309511,0.331391462791047,4.64766912400828e-05,0,-0.00138784485475066,-0.0015764897149291,0.000449059604698847,0.000191966297757864,6.29128334046069e-05,-0.0244811438627732,0.397318104986906
"United Kingdom",-0.0554136665291705,-0.0378843546538216,-0.0182349448852057,-0.0945048312896585,-0.000189236831122874,-7.54321099405595e-06,0,-0.0212546539170719,0.000692518214838177,0.000128977805966444,-0.000230468159351264,0.00379490626904004,0.034363016570259
"Northern Saint-Martin",-0.078863723835525,-0.073967982476165,-0.0267169537425309,0.124852524612749,-0.000152603357529455,0,-0.000387612188094038,-0.0107152098231108,0,0,0.000488864035359089,0.0226520347902395,0.293805394606369
