"region_id","eez_nam","2012_Index","2013_Index","2014_Index","2015_Index","2012_AO","2013_AO","2014_AO","2015_AO","2012_SPP","2013_SPP","2014_SPP","2015_SPP","2012_BD","2013_BD","2014_BD","2015_BD","2012_HAB","2013_HAB","2014_HAB","2015_HAB","2012_CP","2013_CP","2014_CP","2015_CP","2012_CS","2013_CS","2014_CS","2015_CS","2012_CW","2013_CW","2014_CW","2015_CW","2012_ECO","2013_ECO","2014_ECO","2015_ECO","2012_LE","2013_LE","2014_LE","2015_LE","2012_LIV","2013_LIV","2014_LIV","2015_LIV","2012_FIS","2013_FIS","2014_FIS","2015_FIS","2012_FP","2013_FP","2014_FP","2015_FP","2012_MAR","2013_MAR","2014_MAR","2015_MAR","2012_ICO","2013_ICO","2014_ICO","2015_ICO","2012_SP","2013_SP","2014_SP","2015_SP","2012_LSP","2013_LSP","2014_LSP","2015_LSP","2012_NP","2013_NP","2014_NP","2015_NP","2012_TR","2013_TR","2014_TR","2015_TR"
10,"Nauru",65.12,65.89,65.65,71.25,45.79,45.99,46.04,45.81,80.63,80.47,80.51,80.1,89.87,89.78,89.81,89.6,99.1,99.1,99.1,99.1,96.86,96.94,97.18,96.91,NA,NA,NA,NA,52.06,51.96,52.02,51.63,58.99,73.52,73.56,73.24,66.79,75.22,75.26,74.93,74.59,76.93,76.96,76.62,95.5,96,96,96,95.5,96,96,96,0.06,0.07,0.09,0.14,62.07,61.92,61.96,61.64,31.03,30.96,30.98,30.82,0,0,0,0,NA,NA,NA,NA,43.07,40.24,37.91,84.26
41,"Mozambique",64.86,68.72,72.86,72.59,43.41,43.37,43.36,43.13,83.82,83.63,83.57,83.1,89.32,89.08,89.02,88.56,94.82,94.52,94.48,94.03,81.59,81.27,81.24,80.91,98.85,98.85,98.85,98.85,62.11,61.16,61.33,61.29,100,100,100,100,100,100,100,100,100,100,100,100,76.49,76.35,76.29,75.87,76.11,76.09,76.27,75.87,0.12,0.09,0.05,0.01,56.56,56.4,56.36,56.04,47.84,74.86,74.84,74.68,39.12,93.31,93.31,93.31,35.39,48.54,89.97,89.97,14,13.96,13.75,12.63
100,"Republique du Congo",54.53,53.92,66.07,66.12,51.28,51.41,51.3,51.31,84.19,84.15,84.01,84.04,86.98,86.98,86.79,86.8,89.77,89.82,89.57,89.56,NA,NA,NA,NA,NA,NA,NA,NA,50.41,51.25,50.37,50.03,72.76,97.46,96.96,96.95,64.54,77.17,76.73,76.72,56.32,56.89,56.51,56.49,74.83,71.83,71.67,71.67,74.83,71.83,71.67,71.67,NA,NA,NA,NA,58.82,58.81,58.7,58.73,78.92,78.95,78.76,78.77,99.01,99.09,98.81,98.82,15.42,0,100,100,13.84,13.72,12.92,13.69
138,"Peru",56.95,57.88,57.61,57.76,68.91,69.79,69.87,69.88,81.79,82.33,82.16,82.22,79.52,79.95,79.8,79.83,77.26,77.57,77.44,77.44,56.71,56.81,56.72,56.71,56.67,56.77,56.67,56.67,60.89,60.99,60.55,60.55,31.4,44.87,44.75,44.75,53.79,62.75,62.64,62.63,76.19,80.63,80.52,80.52,69.48,73.26,73.14,73.18,69.09,72.69,72.78,72.43,19.72,25.86,24.44,23.22,58.81,58.88,58.74,58.75,66.38,65.92,63.76,62.99,73.96,72.96,68.77,67.23,37.06,34.69,34.54,34.54,20.49,18.48,18.73,21.36
180,"United Kingdom",67.68,69.13,69.75,73.01,80.34,80.57,81.19,81.23,88.16,88.03,88.12,88.21,80.68,82.51,83.19,88.64,73.2,76.99,78.25,89.08,28.2,35.07,35.23,54.71,55.73,55.67,55.72,55.77,62.93,62.89,63.55,63.63,91.24,96.43,96.43,96.43,91.39,90.21,90.21,90.21,91.55,84,84,84,69.43,70.42,70.48,70.51,60.76,62.33,62.19,62.55,14.83,14.93,14.84,14.95,65.3,65.2,65.3,65.36,82.65,82.6,82.65,82.68,100,100,100,100,61.4,63.41,67.18,67.26,72.69,75.98,76.4,83.4
187,"Croatia",71.05,71.1,75.24,75.13,53.11,53.51,53.75,53.81,89.17,89.19,89.15,89.27,93.9,93.91,93.89,93.95,98.62,98.62,98.62,98.62,NA,NA,NA,NA,NA,NA,NA,NA,66.11,65.04,64.11,64.33,100,100,100,100,79.9,79.65,79.67,79.72,59.8,59.3,59.34,59.44,67.52,68.62,68.61,68.68,62.13,64.21,64.32,62.99,15.85,15.68,14.52,15.98,51.77,51.75,51.71,51.8,42.39,42.37,75.86,75.9,33.02,33,100,100,70.89,70.09,70.28,70.38,100,100,100,100
221,"Northern Saint-Martin",86.54,86.73,86.47,86.33,75.78,75.48,73.58,73.53,93.78,93.6,93.5,93.44,95.09,94.99,94.95,94.92,96.39,96.39,96.39,96.39,95.26,95.26,95.26,95.26,100,100,100,100,53.18,53.16,53.13,53.02,81.36,85.68,85.62,85.59,89.09,91.02,91.02,91,96.82,96.37,96.41,96.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.9,67.76,67.7,67.65,83.95,83.88,83.85,83.83,100,100,100,100,NA,NA,NA,NA,100,100,100,99.06
