"LME_NUMBER","OBJECTID","LME_NAME","Shape_Leng","Shape_Area","demersal_destructive_fishing","demersal_nondest_high_bycatch","demersal_nondest_low_bycatch","global_cumulative_impact_dif.gri","night_lights","oil_rigs","pelagic_high_bycatch","pelagic_low_bycatch","plumes_fert","plumes_pest","population","sst","uv","layer"
1,60,"East Bering Sea",148.283217699,189.729414728,-0.0442018300494666,-0.0134226779916231,-0.0107967434182873,-0.744185311701996,5.44215133079676e-06,0,0,-0.000666792939034656,-0.000159854661652651,-1.85335453654991e-06,6.82273517259604e-05,-0.662496558634873,-0.0125126812419671,-0.664808298604872
2,4,"Gulf of Alaska",468.695688344,203.793867511,-0.014815855181488,-0.00279703982309195,-0.00529669275595456,-0.941043725956425,5.24432539223459e-05,-2.69482452702678e-06,0,-0.000217836131657329,-0.00024677352343699,-1.15172300052534e-05,-0.000115338065588871,-0.948876918370507,0.0312844955490411,-0.961486958784583
3,10,"California Current",110.244423248,215.804744389,-0.00118024450504408,-0.000863710312329239,-0.00209554967988246,-0.254960285712472,-1.53060541638515e-05,0,-0.000160171479787398,-0.0013214405052857,-5.50302740393045e-05,8.40795452930859e-06,-1.44427243682569e-05,-0.26802151115259,0.0187587089186499,-0.268494443677157
4,20,"Gulf of California",50.5032369568,20.0876799753,-0.00278854713928079,-0.00051259193137676,-0.00374515080733245,0.360104228875564,2.74136975978004e-06,0,-0.00012036121577165,-0.000176944919622532,0.000546040818315432,0.00230327541606299,0.000430658466958192,0.375588872088146,-0.0114237659532439,0.379220236532061
5,21,"Gulf of Mexico",116.221437916,137.234831192,-0.00794275331060893,-0.00412159840283113,-0.00477558503314871,0.137253655644441,-5.18047415925999e-05,1.52111054146786e-05,-0.00159417218665866,-0.000150197529042109,-0.000623455727811361,0.000369902699513669,-0.000110432739600473,0.147870290869339,0.00836825078776457,0.14828192970604
6,19,"Southeast U.S. Continental Shelf",60.4763047857,28.3566504978,-0.0133001919615918,-0.00572048997558675,-0.00489559926380317,0.173217833144838,-0.000221445598152879,0,-0.000834613141394713,-9.05205068479743e-05,-0.00136322275374059,-0.000181538222953598,-0.000402582648262983,0.196338162115171,0.00388987843993349,0.197385996688407
7,12,"Northeast U.S. Continental Shelf",131.06076327,34.4699302913,-0.0363199546127685,-0.0190330214736244,-0.0117805194961305,-0.00703234786172161,-0.00049558214933948,0,0,-0.00468005707953922,-0.000983141973573333,-0.00012165552246958,-0.000393869589055159,0.116120371125516,-0.049344918267331,0.117797940529694
8,9,"Scotian Shelf",87.605889957,32.8289784535,-0.0309517328645857,-0.029484547717222,-0.0131546487842428,0.10703630657982,-0.000208035964422751,0,0,-0.0101587115801159,-0.000415960734235468,4.22334711523363e-05,-0.000156614040115557,0.210667789570306,-0.0191434658073302,0.212238234142741
9,5,"Labrador - Newfoundland",270.847478624,114.597691045,-0.0416483538015887,-0.0227402729457497,-0.00812411410209385,0.130899455489065,2.05155601553564e-05,-5.3656599712986e-06,0,-0.00546269634326467,0.000215501919573981,5.76483560951277e-05,-0.000118642301044789,0.249466683130689,-0.0407614493629586,0.251763986578531
10,24,"Insular Pacific-Hawaiian",72.9214424204,87.0088696678,-0.000528389556775231,-0.000384456676336028,-0.000642100449692263,-0.17504090465,-2.09839186433304e-05,0,-2.26728677958641e-05,-0.000248444644867254,0.000243519388246338,5.56301268821123e-05,-3.29204263743507e-05,-0.212227830117589,0.0387677449832638,-0.212382228101155
