"LME_NUMBER","OBJECTID","LME_NAME","Shape_Leng","Shape_Area","artisanal_fishing","cumulative_impacts.gri","demersal_destructive_fishing","demersal_nondest_high_bycatch","demersal_nondest_low_bycatch","inorganic","night_lights","ocean_acidification","oil_rigs","pelagic_high_bycatch","pelagic_low_bycatch","plumes_fert","plumes_pest","population","sst","uv"
1,60,"East Bering Sea",148.283217699,189.729414728,9.11621240461063e-06,2.73977778486302,0.218908690607381,0.0357135490250036,0.0374714007173335,0.00100298980224111,6.4161091788263e-05,0.583637712740561,0,0,0.00142812688583234,0.00074681972210616,6.61025395910304e-05,0.000739168987835673,1.13225243778735,0.727737508467302
2,4,"Gulf of Alaska",468.695688344,203.793867511,0.000808373638011364,2.40872904586256,0.0524437201843778,0.00833475889489522,0.0194485023434187,0.00327782241686457,0.00098139504041251,0.814756343712589,2.1363428121708e-05,0,0.00108333873202949,0.00182957404688993,0.00016398510892775,0.0063647558988532,0.787372769512394,0.711842334710116
3,10,"California Current",110.244423248,215.804744389,0.000289734123888057,2.31757920703348,0.0259236420590607,0.014635198854927,0.0392945129862403,0.00326141513786193,0.000456672231865348,0.968211223100207,0,0.00315682725535791,0.00523117880126509,0.00157847300498647,0.000468803001554315,0.00295753481235296,0.549536794279814,0.702577201544638
4,20,"Gulf of California",50.5032369568,20.0876799753,0.00105453950298039,2.96174168766362,0.074519236476428,0.0117770333118139,0.146071058064491,0.0168409651854681,0.000981738236856419,0.894615231711173,0,0.00268537783889397,0.00398591660890544,0.0148955100263658,0.00673885662107368,0.0155249707517634,1.38294887350124,0.389102372399253
5,21,"Gulf of Mexico",116.221437916,137.234831192,0.00047312774349421,3.09522993519565,0.0827753415791059,0.0448402426976002,0.0427322202483117,0.012385810285354,0.00157626668970226,0.919559365491833,0.00107000624202847,0.0115467774405866,0.000752324175708054,0.0152306426499826,0.00375022583043051,0.0073177377074153,1.41484372957173,0.536376114282873
6,19,"Southeast U.S. Continental Shelf",60.4763047857,28.3566504978,0.00293300799248365,2.47767464480931,0.0880593142803923,0.0268162778013172,0.0279010104763334,0.0255805483576873,0.00336285935182165,0.881707699226693,0,0.00337988014262884,0.000370790125850751,0.020012307751863,0.0024018246679191,0.0167033163733487,1.045065757891,0.333380052305515
7,12,"Northeast U.S. Continental Shelf",131.06076327,34.4699302913,0.00445161719007396,2.77014297196968,0.281715738058805,0.111090084859337,0.0827432617060149,0.0284853957767288,0.00904916920698409,0.534171365056941,0,0,0.0233313925429274,0.0189236007379967,0.00401846683456228,0.0448074488919717,1.14910488484353,0.478250553179018
8,9,"Scotian Shelf",87.605889957,32.8289784535,0.00307770493954911,3.17852270460833,0.174993339641044,0.160888946812431,0.0761112491228022,0.00899064750134138,0.00404255454062991,0.555701299965224,0,0,0.0475885630855814,0.00461545326908625,0.000295634051661872,0.0199841490714715,1.56552225536133,0.556710912048487
9,5,"Labrador - Newfoundland",270.847478624,114.597691045,0.00206947558837288,3.3133241044532,0.238384363297207,0.109629027137281,0.0375876532946669,0.00451859675370655,0.00167389069327373,0.675866322707448,0.000118532306638687,0,0.0222416254661066,0.00210837769560567,0.000324741302258692,0.0101763971149682,1.59568992772845,0.612935166886406
10,24,"Insular Pacific-Hawaiian",72.9214424204,87.0088696678,0.000391670152281179,3.20195224050658,0.00291334923447899,0.00177288753270868,0.00559588742221089,0.00126387081109595,0.00028746998125564,1.19595471519037,0,0.000356373570631138,0.00111947470942625,0.00141875386926852,0.000176359412065462,0.00135249160420043,1.3226599525485,0.666688980495295
11,28,"Pacific Central-American Coastal",153.151882822,165.397392268,0.00149959361106503,2.92456312890385,0.0566372416622092,0.015201143662862,0.0350140862520099,0.00840754102104777,0.000340749010347566,0.975605719914983,0,0.0155125780886055,0.00714431066876538,0.00659339082307779,0.00280700498936878,0.00485961731204991,1.14954906218764,0.645391095522511
12,25,"Caribbean Sea",269.198583695,276.603751656,0.00204771551449821,3.57011969101451,0.0328734729247163,0.0223508021053153,0.0145408287661264,0.00971178390682643,0.00121257756731174,1.11223799056797,2.24193087059975e-05,0.00323814268334006,0.000996570672932975,0.00630075331190482,0.0019283524874316,0.00955682495564034,1.82807725485347,0.525024201292095
13,36,"Humboldt Current",442.599531459,253.06909724,0.000707661265781892,2.76156348627479,0.0495224841912447,0.0296987155288093,0.101887358083549,0.00518214507141827,0.000283187705387771,0.952284181116652,9.22339717355756e-07,0.00137383059581551,0.00248296602780799,0.00345551719034794,0.00103687202111749,0.00561698156195013,0.888140160035891,0.719890509314996
14,45,"Patagonian Shelf",143.260741385,137.364853087,8.43969419193126e-05,2.66175274132694,0.220602654443306,0.0423847842403256,0.0210903545376447,0.00304710082617588,0.000317653992216428,0.711820127130029,6.25550503069152e-07,1.44568041714183e-05,0.000164055467605108,0.00448614552494777,0.00153661603803625,0.00420616856795781,0.971617752348172,0.680379856451643
15,43,"South Brazil Shelf",70.1466398516,51.8759986797,0.000979174649847566,3.21816247363541,0.0830567612333634,0.0472102653917609,0.0163800226427793,0.00876181892441383,0.00156316452839678,0.947672370414229,0.00182945884749118,0.0139436379154457,0.0110816268599227,0.00992048076218664,0.0011218130817611,0.00886112096679384,1.4646027159684,0.601178038285923
16,35,"East Brazil Shelf",76.585164469,89.2866091414,0.00124374078715759,3.52185061609206,0.107386447529273,0.0476741913967146,0.0301872798970345,0.0132884715707055,0.000744212372238669,1.04624686336207,0.000668238814262474,0.07362407595897,0.0137165939971359,0.0153797182342198,0.0016801839010754,0.00442382421016634,1.56682443481275,0.598762341067523
17,31,"North Brazil Shelf",149.532880708,86.1054665318,0.000196133520419601,3.23240787215408,0.0749692394219217,0.0387932450537505,0.0228324606587458,0.00729219623158821,0.000348983068622722,0.858490770333521,5.20093214125732e-05,0.0276676193500052,0.00252045816183906,0.0100925416607537,0.00153760460234695,0.00913168356070325,1.63485810197602,0.543624827346959
18,61,"Canadian Eastern Arctic - West Greenland",1025.94764515,331.64437588,0.000704424318313686,2.37253072065384,0.156413268428522,0.0180040828466123,0.00320353846343899,1.20183895650259e-08,9.5029291923668e-05,0.605216747367393,0,0,0.00015700945214686,4.7615395154661e-05,1.84380134147507e-06,0.00223305969861488,1.156651218666,0.42980286814198
19,52,"Greenland Sea",478.515084359,347.560761191,9.21154197871783e-05,2.53979242217241,0.0513664178105886,0.0219067615966769,0.0385084283453935,0,9.3639025472211e-06,0.927289189148371,0,0,0.00189992126997736,0,0,0.000308127673118553,1.13934649445221,0.359065600943185
20,54,"Barents Sea",792.332999321,678.861124641,0.000231841964294618,2.87724011738066,0.171771072464687,0.172993470583962,0.0517022838629505,0.00214935696323593,0.000792276584380614,0.831928315695601,0,0,0.0255448026166636,0.000245455391622507,8.89877277768083e-06,0.00464097433772427,1.15815703368942,0.457074335698318
21,53,"Norwegian Sea",159.901810149,232.309781036,0.000351634401729663,3.98392523638856,0.141228952274161,0.118064728068926,0.0612487642328108,0.00140083383282249,0.00110633779026646,1.07217192849753,9.30142170252296e-05,0,0.0810442984679045,0.000458719659296177,7.31350910775544e-06,0.00650301431866681,1.90170873086857,0.598536964715597
22,3,"North Sea",209.486402669,103.9652466,0.00190500866626607,3.53517050979465,0.384083852316452,0.192917022305414,0.101961757882367,0.0249966582098604,0.00535331805244817,0.624009787266604,0.000359064512685048,0,0.0900716510585961,0.0288944064456008,0.00412270749431447,0.0274384704853457,1.45448054186698,0.594576266604529
23,1,"Baltic Sea",219.326402059,61.9500208262,0.00327148922724056,1.94934190991466,0.0197959976209606,0.136032509369664,0.112313740132708,0.0562112810536719,0.0100253207104965,0.0125944943138209,0,0,0.046705760665868,0.0537255402091751,0.00587076546694977,0.066922358080328,1.02148946681768,0.404383180516479
24,6,"Celtic-Biscay Shelf",214.311375288,98.7623489389,0.00277091533252143,3.71110586899623,0.197587983278292,0.122973338682437,0.0615396758062429,0.0187802595981139,0.00416303907753715,0.880599513783751,0,0,0.0421545187126376,0.0186050876194027,0.00462943043165122,0.0243250121676843,1.67731107841949,0.655666009331709
25,14,"Iberian Coastal",57.193046581,32.6491639373,0.00108293939852045,3.57204879444095,0.138139709876524,0.0864298795671417,0.0904563225466905,0.0277482323396839,0.00436758180062068,1.03949132225768,0,0,0.0264738537517481,0.0179855882441797,0.00594457275162049,0.0153326931723383,1.47752865606938,0.641067434709469
26,13,"Mediterranean Sea",350.629348915,256.745168483,0.00161112301822201,3.55497257589115,0.0734792965847767,0.0656004588174317,0.0563043959519473,0.029641660340478,0.00427198893046803,1.06305251066469,0.000267587652750984,0.00185526991528408,0.0115202637758757,0.0195693358950998,0.00485723008358184,0.0204005937914737,1.65378737103594,0.548753488643224
27,17,"Canary Current",96.4037842891,100.884476333,0.000288207091014946,3.85886858794977,0.0717796651061595,0.0999485773847943,0.118229846112959,0.00773198399533594,0.000619413719234846,1.05159689953475,4.97998920278245e-05,0.005174239670134,0.00637565640643034,0.00408646792726955,0.000815603405701198,0.00560885043392684,1.82201176545847,0.664551600208579
28,32,"Guinea Current",156.97120198,156.534240177,0.000985891678194309,3.58839622657656,0.0568225733371753,0.0605226919334125,0.0369271296404351,0.00816281203841591,0.000231384512205626,1.04297272155483,0.0131496201665377,0.107427241586842,0.0084081756663026,0.00291899010002508,0.000684530428463754,0.00400723033873771,1.67497005632929,0.570205169076435
29,37,"Benguela Current",81.6751243416,128.348959069,0.000194027796072692,3.37281541945859,0.0422079300410619,0.0244149487971633,0.0666261544818107,0.00471431065189653,0.000227402774146311,1.04831543917849,0.00099187982905044,1.11620205059706e-05,0.000772912786597146,0.00125640663901151,0.000336378879194159,0.00208695137169826,1.54085182173228,0.639807690525642
30,40,"Agulhas Current",194.802316146,232.569655933,0.000663236084621121,3.51307905714804,0.0396129189822346,0.00860561481604719,0.0169544305860468,0.0080395282093318,0.00015240505718129,1.09583505591061,8.28825077461992e-06,0.0033083570015223,0.00541610003202661,0.00268754838837874,0.000402395594957193,0.00552879881513263,1.6834166915118,0.642447682490369
31,33,"Somali Coastal Current",70.2530544347,68.5710741963,0.000960972468430962,3.31552987332192,0.0209652612218139,0.0226844507864047,0.00724678826557875,0.00982162848599009,0.000246547974533061,1.03830335341236,0,0.00721706074933318,0.00236570882720688,0.0034158481752721,0.000487286788724877,0.00736810071828195,1.66935866577497,0.525088205603905
32,22,"Arabian Sea",200.00884632,333.7834462,0.000435812479625188,3.50176303978242,0.0848722110358769,0.0546297135671704,0.0405884216939994,0.008474465934174,0.00103630697300805,1.00183848785168,0.00120475731859024,0.0217882481151823,0.018136912904012,0.00713194009655457,0.000540733769863891,0.00530088611883852,1.64420623334639,0.611577909782555
