"ECO_CODE","ECOREGION","PROV_CODE","PROVINCE","RLM_CODE","REALM","ALT_CODE","ECO_CODE_X","Lat_Zone","artisanal_fishing","cumulative_impacts.gri","demersal_destructive_fishing","demersal_nondest_high_bycatch","demersal_nondest_low_bycatch","inorganic","night_lights","ocean_acidification","oil_rigs","pelagic_high_bycatch","pelagic_low_bycatch","plumes_fert","plumes_pest","population","sst","uv"
20001,"North Greenland",1,"Arctic",1,"Arctic",8,1,"Polar",2.97773145575615e-05,1.12302224560259,0.0460714882514902,0.00333261160281914,0.000754935323392081,0,0,0.720885185684406,0,0,0,1.78210011229443e-05,1.12860620717196e-06,0.000119153680036583,0.200764867877796,0.151045277059529
20002,"North and East Iceland",1,"Arctic",1,"Arctic",10,2,"Polar",7.77289414963088e-05,3.5693964316055,0.157479733323013,0.0913708481511933,0.0979830154054524,0.000141561343525017,8.26494180081966e-05,1.00504781388654,0,0,0.0226748452348813,0.000357116539543016,3.57617186836482e-07,0.00123675374383761,1.72326708160977,0.469676923766076
20003,"East Greenland Shelf",1,"Arctic",1,"Arctic",7,3,"Polar",0.000195332112881155,2.74089949097614,0.0697197132470405,0.0337184113408603,0.0574317962976906,0,2.51048893564817e-05,0.833940970935732,0,0,0.00202873645067955,0,0,0.000800723688826515,1.29340802832825,0.449630668346625
20004,"West Greenland Shelf",1,"Arctic",1,"Arctic",9,4,"Polar",0.00159699961334621,3.19135548841171,0.187196121761891,0.033147100651035,0.00397555793448596,0,0.000165386406817092,0.734609519627965,0,0,2.63560577710635e-05,0,0,0.00511402454541566,1.64445739703266,0.581067018576403
20005,"Northern Grand Banks - Southern Labrador",1,"Arctic",1,"Arctic",5,5,"Polar",0.00207318660275732,3.46512560988203,0.24675927740303,0.115383548857945,0.0297099448624518,0.00318899059138762,0.00194201157946647,0.712032005767688,0,0,0.0171964042147491,0.00112451795621374,6.34221856439393e-05,0.0132045099124122,1.76092381533724,0.561523955820675
20006,"Northern Labrador",1,"Arctic",1,"Arctic",6,6,"Polar",2.85738844606236e-05,2.8054643985865,0.17446535427155,0.0127833859334593,0.0136542048409516,2.52773293959162e-06,0.000165274574746613,0.711323396127872,0,0,0.0101369341982343,0.000343600103630034,1.32852936661794e-05,0.000852104109752183,1.36105666763161,0.520639089754843
20008,"Hudson Complex",1,"Arctic",1,"Arctic",3,8,"Polar",7.66175488610003e-05,1.99552383884727,0.000543517690095829,4.17277953889494e-05,1.11557080028778e-05,0.00131162575479777,0.00017115184722552,0.322611318196228,0,0,6.60110834696707e-07,0.00251876785930899,0.000585881472318388,0.00147249081493762,1.07975522715322,0.586423706796068
20011,"Beaufort-Amundsen-Viscount Melville-Queen Maud",1,"Arctic",1,"Arctic",19,11,"Polar",5.08506550252343e-05,0.793563780102827,9.63419953826598e-05,1.69359914578247e-05,0,3.72041021592436e-06,7.78208899900059e-05,0.370582136343482,0,0,0,0.000256585648691178,1.00466852372203e-05,0.000482076794728675,0.271180721460022,0.150806544024028
20012,"Beaufort Sea - continental coast and shelf",1,"Arctic",1,"Arctic",18,12,"Polar",4.3470539202821e-06,1.08075285396891,3.51503328326007e-05,5.86567402691456e-06,0,2.42234814610921e-05,0.000471242186007724,0.63286867652529,3.17949420906999e-05,0,0,0.00200342478333157,0.000128614285847894,0.000372126447954979,0.311172919452522,0.133634470904083
20013,"Chukchi Sea",1,"Arctic",1,"Arctic",16,13,"Polar",2.56896707578495e-05,1.79556079495336,4.83930216983347e-05,1.02994735699183e-05,1.03711209625983e-07,0.00019460134034822,0.000204589773209889,0.439603668383275,0,0,0,0.000845335019185016,5.47453593165221e-05,0.00135695889231852,0.923671364064789,0.429545034737169
