"LME_NUMBER","OBJECTID","LME_NAME","Shape_Leng","Shape_Area","artisanal_fishing","demersal_destructive_fishing","demersal_nondest_high_bycatch","demersal_nondest_low_bycatch","global_cumulative_impact_2013_all_layers.gri","inorganic","invasives","night_lights","ocean_acidification","ocean_pollution","oil_rigs","pelagic_high_bycatch","pelagic_low_bycatch","plumes_fert","plumes_pest","population","shipping","slr","sst","uv"
1,60,"East Bering Sea",148.283217699,189.729414728,9.11621240461063e-06,0.218908690607381,0.0367877590650251,0.0374714007173335,3.10598346201353,0.00100298980224111,0.00319380680933402,6.4497208064283e-05,0.583637712740561,0.169550984531747,0,0,0.00142812688583234,0.000746819714818565,6.61452721018429e-05,0.000739168987835673,0.125834831770763,0.0627391699998814,1.13606472004131,0.727737508467302
2,4,"Gulf of Alaska",468.695688344,203.793867511,0.000808373638011364,0.0524437201843778,0.0085854559532749,0.0194485023434187,2.95124811224603,0.00327782241686457,0.0191130222417236,0.000986536205256843,0.814756343712589,0.279889044159548,2.1363428121708e-05,0,0.00108333873202949,0.00182957403015697,0.000164091118600239,0.0063647558988532,0.202800822566443,0.0378091503652656,0.790023846957239,0.711842334710116
3,10,"California Current",110.244423248,215.804744389,0.000289734123888057,0.0259236420590607,0.0150754036584238,0.0392945129862403,2.9589259975953,0.00326141513786193,0.00446960932566679,0.00045906456874964,0.968211223100207,0.375724390135044,0,0.00317190240375245,0.00523117880126509,0.00157847299043893,0.000469106063553002,0.00295753481235296,0.248727280546713,0.0101172483163013,0.551387080793225,0.702577201544638
4,20,"Gulf of California",50.5032369568,20.0876799753,0.00105453950298039,0.074519236476428,0.0121312688685188,0.146071058064491,3.26087907758207,0.0168409651854681,0.0108274233825986,0.000986881198499993,0.894615231711173,0.0974375655824638,0,0.00269820163555129,0.00398591660890544,0.0148955098872418,0.00674321301217077,0.0155249707517634,0.065241363261361,0.120598081524836,1.38760524601475,0.389102372399253
5,21,"Gulf of Mexico",116.221437916,137.234831192,0.00047312774349421,0.0827753415791059,0.0461889699101743,0.0427322202483117,3.82483845788004,0.012385810285354,0.0210818312790583,0.00158452416716478,0.919559365491833,0.286779098543861,0.00107000624202847,0.0116019180716835,0.000752324175708054,0.0152306425034561,0.00375265019190264,0.0073177377074153,0.192802157166347,0.222767121021612,1.41960748916237,0.536376114282873
6,19,"Southeast U.S. Continental Shelf",60.4763047857,28.3566504978,0.00293300799248365,0.0880593142803923,0.0276228711085702,0.0279010104763334,3.41425368804308,0.0255805483576873,0.0384877312889146,0.00338047613860322,0.881707699226693,0.385385795298853,0,0.00339602046772109,0.000370790125850751,0.0200123075700967,0.00240337734862555,0.0167033163733487,0.283886761638347,0.224458126011219,1.04858448016916,0.333380052305515
7,12,"Northeast U.S. Continental Shelf",131.06076327,34.4699302913,0.00445161719007396,0.281715738058805,0.114431508294032,0.0827432617060149,3.80097713288471,0.0284853957767288,0.0863481941343728,0.00909657446928509,0.534171365056941,0.30092295116822,0,0,0.0233313925429274,0.0189236005569217,0.00402106460933651,0.0448074488919717,0.31839932379676,0.31790324460458,1.15297390623581,0.478250553179018
8,9,"Scotian Shelf",87.605889957,32.8289784535,0.00307770493954911,0.174993339641044,0.165728245190571,0.0761112491228022,4.04106031169913,0.00899064750134138,0.0498792451553567,0.00406373200031132,0.555701299965224,0.265489338321587,0,0,0.0475885630855814,0.00461545322664278,0.000295825166955306,0.0199841490714715,0.304626463426629,0.232410806675299,1.57079334726266,0.556710912048487
9,5,"Labrador - Newfoundland",270.847478624,114.597691045,0.00206947558837288,0.238384363297207,0.112926503884867,0.0375876532946669,3.90768213524701,0.00451859675370655,0.0156010509608369,0.00168265958809234,0.675866322707448,0.222145328734417,0.000118532306638687,0,0.0222416254661066,0.00210837767656906,0.00032495123489816,0.0101763971149682,0.246030781608653,0.101901736098868,1.6010625963161,0.612935166886406
10,24,"Insular Pacific-Hawaiian",72.9214424204,87.0088696678,0.000391670152281179,0.00291334923447899,0.00182621333392615,0.00559588742221089,3.52213568337167,0.00126387081109595,0.00135215783658561,0.00028897592974874,1.19595471519037,0.19009182035686,0,0.000358075400784608,0.00111947470942625,0.00141875385602143,0.000176473421358434,0.00135249160420043,0.118444070238691,0.00578533536920932,1.32711333444746,0.666688980495295
