"ECO_CODE","ECOREGION","PROV_CODE","PROVINCE","RLM_CODE","REALM","ALT_CODE","ECO_CODE_X","Lat_Zone","artisanal_fishing_combo","demersal_destructive_fishing_combo","demersal_nondest_high_bycatch_combo","demersal_nondest_low_bycatch_combo","inorganic_combo","night_lights_combo","ocean_acidification_combo","oil_rigs_combo","pelagic_high_bycatch_combo","pelagic_low_bycatch_combo","plumes_fert_combo","plumes_pest_combo","population_combo","sst_combo","uv_combo","global_cumul_impact_2013_all_layers_except_shipping_oceanpollution_invasives_slr"
20001,"North Greenland",1,"Arctic",1,"Arctic",8,1,"Polar",1.4941026671669e-05,0.0225126603009909,0.00162878912174153,0.00036839608823185,0,0,0.351976529611532,0,0,0,8.69674671934054e-06,5.50726262569265e-07,6.13233638341464e-05,0.0980216936972275,0.0737409367817047,0.548334517074187
20002,"North and East Iceland",1,"Arctic",1,"Arctic",10,2,"Polar",7.64245910924903e-05,0.149624244641469,0.0868557001391408,0.0930840278933728,0.000137483816092956,0.000123030212044418,0.954667417764567,0,0,0.0215368523373694,0.000345342100869431,3.47676798787501e-07,0.00133758449700563,1.63678837209031,0.446136021808628,3.3907128520614
20003,"East Greenland Shelf",1,"Arctic",1,"Arctic",7,3,"Polar",0.000106047947626385,0.0360464653228118,0.0174124070941438,0.0296564832683207,0,1.50745274535257e-05,0.43130138132621,0,0,0.00104750853291967,0,0,0.000456648771904182,0.66807138496902,0.232449303599665,1.41656270811652
20004,"West Greenland Shelf",1,"Arctic",1,"Arctic",9,4,"Polar",0.000954938802996092,0.104161729335169,0.0184784864504417,0.0021978563770747,0,0.000103904363657953,0.406886081890974,0,0,1.4568089275982e-05,0,0,0.00311129947656412,0.90827755641116,0.321331454404021,1.76551787901933
20005,"Northern Grand Banks - Southern Labrador",1,"Arctic",1,"Arctic",5,5,"Polar",0.00150152532275164,0.169144247691236,0.0791141161788742,0.0203400335093138,0.00233824075722405,0.00182587534060646,0.487520423562019,0,0,0.0117618806337183,0.000822375240115439,4.64970957235258e-05,0.0107951907256033,1.20490214340742,0.384235872419319,2.37434843474553
20006,"Northern Labrador",1,"Arctic",1,"Arctic",6,6,"Polar",1.91441493684614e-05,0.10073707294985,0.00735640586282967,0.00785380052148464,1.62571979755598e-06,9.90141919316142e-05,0.410239347275129,0,0,0.00582925249413156,0.000224510095125208,9.33302806965684e-06,0.00057102219529418,0.783178265644997,0.300658118170246,1.61677691238783
20008,"Hudson Complex",1,"Arctic",1,"Arctic",3,8,"Polar",3.35590762008284e-05,0.000222243971252729,1.69896109840284e-05,4.54030153716438e-06,0.000545696244374076,8.14827255156692e-05,0.131366463135313,0,0,2.68335762667295e-07,0.0010456354217516,0.000245028845256851,0.000657650436663426,0.43911938434434,0.238614753135632,0.811953691562529
20011,"Beaufort-Amundsen-Viscount Melville-Queen Maud",1,"Arctic",1,"Arctic",19,11,"Polar",1.72149882652593e-05,3.10199188086014e-05,5.44280659423749e-06,0,1.22097556574968e-06,3.06994672786963e-05,0.119077743815798,0,0,0,8.55448721474984e-05,3.41201638562979e-06,0.000172977607810906,0.0871798402597191,0.0486144185901336,0.255219535060972
20012,"Beaufort Sea - continental coast and shelf",1,"Arctic",1,"Arctic",18,12,"Polar",2.10262123788647e-06,1.48208222400446e-05,2.47277975391184e-06,0,1.0328323511942e-05,0.000238308132269013,0.266918858303859,1.54375655183852e-05,0,0,0.000869210519280736,5.73482509638597e-05,0.000181123232267351,0.13124234265969,0.0564735240849568,0.45602587640952
20013,"Chukchi Sea",1,"Arctic",1,"Arctic",16,13,"Polar",1.85978265648596e-05,3.39034570177224e-05,7.21566348263202e-06,7.26585861847826e-08,0.000138173076087957,0.000160309066917831,0.308200381651656,0,0,0,0.000605520062631244,3.93669983009456e-05,0.00104670751656788,0.647357650355566,0.301123585810729,1.25873149220535
