"rgn_id","fao_id","rgn_typ","rgn_key","rgn_nam","rgn_iso2","eez_cnt","eezs","demersal_destructive_fishing_combo_2013_minus_2008","demersal_nondest_high_bycatch_combo_2013_minus_2008","demersal_nondest_low_bycatch_combo_2013_minus_2008","night_lights_combo_2013_minus_2008","oil_rigs_combo_2013_minus_2008","pelagic_high_bycatch_combo_2013_minus_2008","pelagic_low_bycatch_combo_2013_minus_2008","plumes_fert_combo_2013_minus_2008","plumes_pest_combo_2013_minus_2008","population_combo_2013_minus_2008","sst_combo_2013_minus_2008","uv_combo_2013_minus_2008","global_cumul_impact_2013_minus_2008"
260,18,"fao","XARC","Arctic Sea","",1,"NA (1018|)",-0.000137548043732583,-1.09215660676403e-06,0,0,0,0,0,0,0,0,-0.0112005831904355,0.00988685881142791,-0.00145236465953405
261,21,"fao","XANW","Atlantic, Northwest","",1,"NA (1021|)",-0.00366309088547714,-0.00132201520605297,-0.000821591396351287,0,0,0,-0.000475972870783228,0,0,0,-0.0635476483402251,-0.0100349145512685,-0.0798652324673814
262,27,"fao","XANE","Atlantic, Northeast","",1,"NA (1027|)",-0.0214801761498533,-0.00189077312068837,-0.00455567889218937,0,0,0,-0.00143724932878622,0,0,0,0.120112242741794,0.000925996582450847,0.0916743622125211
263,31,"fao","XAWC","Atlantic, Western-Central","",1,"NA (1031|)",-0.00201196313600822,-0.00157778254828173,-0.00518365243338189,0,0,-0.00293999787666664,-0.00328034191969022,0,0,0,0.0386462899515028,0.0256815087068338,0.0493340606871554
264,34,"fao","XAEC","Atlantic, Eastern Central","",1,"NA (1034|)",5.8270073974405e-05,5.01191361168186e-05,0.000838386545610572,0,0,0.000219008579263891,0.00118760929242529,0,0,0,0.474686389581116,0.00464353737249417,0.481683320331928
266,41,"fao","XASW","Atlantic, Southwest","",1,"NA (1041|)",-0.00954630458088539,-0.00417560266627041,-0.00374274842644624,0,0,-0.00668581661445825,-0.00428047011838462,0,0,0,0.439897833074925,0.000367042475412443,0.411833934301604
267,47,"fao","XASE","Atlantic, Southeast","",1,"NA (1047|)",-9.15788332774485e-05,-0.000108808316929563,-0.00153519256448577,0,0,-1.99411619742621e-06,-0.0012122591425269,0,0,0,0.587576618344432,-0.00660173139820518,0.578025052719117
268,48,"fao","XAAN","Atlantic, Antarctic","",1,"NA (1048|)",0.000286162677705351,1.55339480847593e-06,0.00108720503938971,0,0,0,1.47124808186907e-05,0,0,0,0.181336553093927,-0.00260169224250968,0.180124493180102
269,51,"fao","XIWE","Indian Ocean, Western","",1,"NA (1051|)",-0.00462417666694221,-0.00434544903684738,-0.0079779702201821,0,0,-0.00121865338346907,-0.0119880248340445,0,0,0,0.503424076705453,-0.000742808973954359,0.472526994809417
270,57,"fao","XIEA","Indian Ocean, Eastern","",1,"NA (1057|)",-0.000442565451564551,-0.0016102137546199,-0.00145446430571738,0,0,-0.000718666197813199,-0.00179831928776449,0,0,0,0.31226161756135,0.00834519729976152,0.314582588434192
271,58,"fao","XIAN","Indian Ocean, Antarctic And Southern","",1,"NA (1058|)",0.00020904835333919,4.55539564559145e-06,6.17512367454349e-07,0,0,4.04866284896912e-06,3.92187182973701e-06,0,0,0,-0.0217992730883713,-0.011200378276162,-0.0327774587970788
272,61,"fao","XPNW","Pacific, Northwest","",1,"NA (1061|)",-0.00335497259410073,-0.0159345121151028,-0.0135373138169567,0,0,-2.690512283679e-05,-0.00484760939024678,0,0,0,0.323563379477076,0.0211602887989104,0.30702235507438
273,67,"fao","XPNE","Pacific, Northeast","",1,"NA (1067|)",4.96008739400211e-05,6.32520936465686e-05,8.96468791671451e-05,0,0,0,7.34801398563714e-05,0,0,0,-0.220008551066016,0.000895582947547229,-0.218836986474717
274,71,"fao","XPWC","Pacific, Western Central","",1,"NA (1071|)",-0.00133442057367533,-0.0060852463338638,-0.0062322966013121,0,0,-1.37564222487224e-05,-0.0107680914959454,0,0,0,0.163760834169365,0.00542806359247565,0.144755087404881
275,77,"fao","XPEC","Pacific, Eastern Central","",1,"NA (1077|)",-0.000610081906994951,-0.00268886089676772,-0.00422329834460131,0,0,-0.00278839536113165,-0.0059315814544134,0,0,0,0.074193862013821,0.00983914083330689,0.0677907842902122
276,81,"fao","XPSW","Pacific, Southwest","",1,"NA (1081|)",-0.00150671364106796,-0.0016107318814421,-0.000887972586128652,0,0,-7.8897847586035e-07,-0.000853641041589322,0,0,0,0.189668103715,0.00284549479242352,0.187653751322385
277,87,"fao","XPSE","Pacific, Southeast","",1,"NA (1087|)",-0.000894849754634323,-0.0100467400058025,-0.0100952970754591,0,0,-0.000233805511847827,-0.0043343652952605,0,0,0,0.468930418737418,-0.0125758209775245,0.430749535075388
278,88,"fao","XPAN ","Pacific, Antarctic","",1,"NA (1088|)",0.00133090639977392,0,2.56121778021517e-05,0,0,0,0.00183061700448478,0,0,0,-0.0707091564818721,-0.0121708533232987,-0.0796928745317944
