"LME_NUMBER","OBJECTID","LME_NAME","Shape_Leng","Shape_Area","demersal_destructive_fishing_combo_2013_minus_2008","demersal_nondest_high_bycatch_combo_2013_minus_2008","demersal_nondest_low_bycatch_combo_2013_minus_2008","night_lights_combo_2013_minus_2008","oil_rigs_combo_2013_minus_2008","pelagic_high_bycatch_combo_2013_minus_2008","pelagic_low_bycatch_combo_2013_minus_2008","plumes_fert_combo_2013_minus_2008","plumes_pest_combo_2013_minus_2008","population_combo_2013_minus_2008","sst_combo_2013_minus_2008","uv_combo_2013_minus_2008","global_cumul_impact_2013_minus_2008"
1,60,"East Bering Sea",148.283217699,189.729414728,-0.0441022329556586,-0.0133885281009115,-0.010772679642857,5.69494899982347e-06,0,0,-0.000664882774365921,-0.000163353036228622,-1.78264388939961e-06,7.72649174220777e-05,-0.66079324572951,-0.0124975458714582,-0.742301279832067
2,4,"Gulf of Alaska",468.695688344,203.793867511,-0.0146352564473782,-0.00276075103955127,-0.00522638308430135,5.97121540759383e-05,-2.65118862007405e-06,0,-0.000214351622023912,-0.000254990285211874,-1.20073375746651e-05,-0.000141002098582343,-0.933658466362705,0.0308503226054097,-0.925995823582058
3,10,"California Current",110.244423248,215.804744389,-0.00117777317080204,-0.000861641911521963,-0.00209067414620376,-1.84027509774033e-05,0,-0.000159757565701788,-0.00131802625132004,-5.54932930403378e-05,8.48161627265715e-06,-1.63878502511212e-05,-0.267338903979926,0.0187153720472601,-0.254313203165532
4,20,"Gulf of California",50.5032369568,20.0876799753,-0.00275817233630117,-0.000506882848529975,-0.00370304036326947,3.7070990988263e-06,0,-0.000118917167422499,-0.000174829649353033,0.000547422412103174,0.00229988012094682,0.000444240368130723,0.371052771956923,-0.0113019356217217,0.355784246603542
5,21,"Gulf of Mexico",116.221437916,137.234831192,-0.00790727357913704,-0.0041007192786522,-0.00475216394987557,-5.68863171369702e-05,1.51248823565779e-05,-0.00158514066834817,-0.000149346706263861,-0.000623797939815815,0.000369613874810055,-0.000112006580939445,0.147033803432882,0.0083101183131551,0.136441325336919
6,19,"Southeast U.S. Continental Shelf",60.4763047857,28.3566504978,-0.0131760948759628,-0.00566673202858871,-0.00484768080951178,-0.000234371792954351,0,-0.000826029515108252,-8.95907027797273e-05,-0.00137870513256605,-0.000184144117172643,-0.0004430108849932,0.19420584563645,0.00386857812106274,0.171228060598653
7,12,"Northeast U.S. Continental Shelf",131.06076327,34.4699302913,-0.0355642990721923,-0.0186294175560103,-0.0115371711831659,-0.000537686742164628,0,0,-0.00457554781391688,-0.000977406974512107,-0.000121453377257525,-0.000395140941547133,0.113597588295399,-0.0483763393593709,-0.00711687354671293
8,9,"Scotian Shelf",87.605889957,32.8289784535,-0.0306390882240786,-0.0291992576226896,-0.0130267811688825,-0.000227789292188878,0,0,-0.0100522406597889,-0.000417782502705769,4.32221604489048e-05,-0.00016351724889076,0.208512155487819,-0.0190467898450418,0.105782132088676
9,5,"Labrador - Newfoundland",270.847478624,114.597691045,-0.0411115449473719,-0.0224466796183953,-0.00801558098658274,2.80038903058281e-05,-5.29111218216049e-06,0,-0.00538683244238756,0.000216794883649265,5.84593778462773e-05,-0.000126694801235868,0.246074053293078,-0.040257371653211,0.129027316914762
10,24,"Insular Pacific-Hawaiian",72.9214424204,87.0088696678,-0.000528096045738397,-0.000384216737336816,-0.000641801747258558,-2.20927373060229e-05,0,-2.26567584568493e-05,-0.0002482593645638,0.000245935591983995,5.61920532698002e-05,-3.41738623842974e-05,-0.212090591603855,0.0387413361786379,-0.174928425524274
