"LME_NUMBER","OBJECTID","LME_NAME","Shape_Leng","Shape_Area","demersal_destructive_fishing_combo_2013_minus_2008","demersal_nondest_high_bycatch_combo_2013_minus_2008","demersal_nondest_low_bycatch_combo_2013_minus_2008","night_lights_combo_2013_minus_2008","oil_rigs_combo_2013_minus_2008","pelagic_high_bycatch_combo_2013_minus_2008","pelagic_low_bycatch_combo_2013_minus_2008","plumes_fert_combo_2013_minus_2008","plumes_pest_combo_2013_minus_2008","population_combo_2013_minus_2008","sst_combo_2013_minus_2008","uv_combo_2013_minus_2008","global_cumul_impact_2013_minus_2008"
11,28,"Pacific Central-American Coastal",153.151882822,165.397392268,0.00191316806048802,0.0008856890646455,0.000907011497745559,-2.76292446488716e-07,0,0.00167438127824502,0.000210951772334886,-0.000407971168947312,0.000291663377814476,6.46857695882764e-05,0.696271943139224,0.0240945236440965,0.725905765022295
12,25,"Caribbean Sea",269.198583695,276.603751656,-0.012327901642766,-0.00880018731708081,-0.00751888695255985,-5.48800001938722e-05,6.69104259273275e-06,-0.00137787296959754,-0.00081170480980335,0.000252445650168931,0.000187260771717941,0.000125550516128977,0.362047925429894,0.0277451283528278,0.359473567985084
13,36,"Humboldt Current",442.599531459,253.06909724,-0.0103245136787798,-0.00811943784627823,-0.0147747772077443,1.53029531684075e-05,-2.26982500886498e-07,-0.000531014633995806,-0.000905165789918477,0.000206158317000558,0.000136851923047684,-0.000922994247618262,0.350741491049889,-0.00215256459560046,0.313369105910881
14,45,"Patagonian Shelf",143.260741385,137.364853087,-0.0783763963091709,-0.0192996360550425,-0.0101698317750435,1.24739549634381e-05,-2.48664925465755e-07,-9.03615546700605e-06,-8.2486915305044e-05,4.1363725756511e-05,0.000122094223095727,2.62594335467706e-05,-0.0675098997851895,0.0309512797192753,-0.144294064918204
15,43,"South Brazil Shelf",70.1466398516,51.8759986797,0.00294172972907374,0.00171999538170366,0.000674104905391848,0.000114178706995983,9.60850527163588e-05,0.000556773719322194,0.000443299801012803,0.000893387601673114,5.85681559288416e-05,-0.000371390180799418,0.0374072818829306,0.0558080762388417,0.100342092988685
16,35,"East Brazil Shelf",76.585164469,89.2866091414,0.0027760617846405,0.00164907526390193,0.000992585937319001,1.83790247780861e-05,0.000327370729842994,0.00296080689589738,0.000541467241895364,0.0010111482078222,0.000113883316601535,0.00019134297939827,1.04447735002735,0.00915620586431773,1.06421567323412
17,31,"North Brazil Shelf",149.532880708,86.1054665318,-0.00703460875899999,-0.00218939121581657,-0.00306969349223367,3.20126478787731e-06,-7.81960580955556e-06,-0.0027939794644189,-0.000218218297188016,0.00031940771657493,-3.45656733930071e-05,-3.43881897014639e-06,0.314393948599152,0.00778183009399593,0.307146670570771
18,61,"Canadian Eastern Arctic - West Greenland",1025.94764515,331.64437588,-0.0303025813181376,-0.0050676435536308,-0.000783361529675074,1.6045228547116e-05,0,0,-3.90909864886516e-05,3.66297454454553e-05,1.79367248853572e-06,0.000172893109081515,0.0905379829891794,0.0111841812674265,0.0657568485814769
19,52,"Greenland Sea",478.515084359,347.560761191,-0.0164946199343268,-0.00685367966456208,-0.00809138783615613,1.45130267321937e-06,0,0,-0.00102624841838048,0,0,0.000141468369108097,-0.166931233129414,0.0263549288309012,-0.172899321898099
20,54,"Barents Sea",792.332999321,678.861124641,-0.0626206487916682,-0.055749129663622,-0.0179215566629295,0.000208482419614173,0,0,-0.00312028939180768,-1.32065246033103e-05,1.32475106603268e-06,0.000203098862672651,-0.0493533620358739,0.00864416508807208,-0.179721123434244
21,53,"Norwegian Sea",159.901810149,232.309781036,-0.054953177699224,-0.0198640011250034,-0.0185420929574454,0.000317974784903762,-1.59253330277985e-05,0,-0.0190845397930557,0.000138732122633499,3.14920386150756e-06,4.76004978223465e-05,-0.114259662603716,0.00328978647470659,-0.22292215638333
22,3,"North Sea",209.486402669,103.9652466,-0.0830776447421239,-0.0574150562547601,-0.028895931702907,2.02877625508324e-05,-0.000238570854307754,0,-0.0228791845705694,-0.000336996310223818,0.000185243331274161,0.000259882426239428,0.0259700860833099,0.00865824964845106,-0.157749631570803
23,1,"Baltic Sea",219.326402059,61.9500208262,-0.0109929736380518,-0.0566152706553058,-0.0363328639848176,7.91283706799272e-05,0,0,-0.0200290395530417,-0.000802648840794492,0.000892467875638341,0.000326393857979884,0.112778022750458,-0.0460253772623732,-0.0567221613558334
24,6,"Celtic-Biscay Shelf",214.311375288,98.7623489389,-0.0520427938512473,-0.0370825234478009,-0.0165829166441445,-0.000163160599452415,0,0,-0.0152908872712651,0.00110519175161582,6.99791635163198e-05,-4.84648238761418e-05,0.110037832857226,-0.012270411735416,-0.0222681554071301
25,14,"Iberian Coastal",57.193046581,32.6491639373,-0.0147128930045087,-0.0106256994894425,-0.00823658867922173,-2.25602420492828e-05,0,0,-0.00508032280905209,-0.00174305602674452,-0.000795633776329178,8.3274112489595e-05,0.851073908773304,-0.0235164357336351,0.786423997341056
26,13,"Mediterranean Sea",350.629348915,256.745168483,-0.009154309761182,-0.0161247870457028,-0.00552426712660289,-9.26775663930869e-05,-5.83361126112373e-06,-0.00269349572993163,-0.000499506389342963,-0.00125878947313683,-0.000242256095850935,8.50554089388606e-05,0.116487831279582,-0.0191992195003692,0.0617777451351885
27,17,"Canary Current",96.4037842891,100.884476333,-0.00349570988110855,-0.00294166357543326,-0.00302812129775454,-1.18290892319886e-05,4.96037491576058e-05,-0.00168832763125101,-0.00045463769670677,-0.000723928840941253,-0.000442560858293869,1.88293069436699e-05,0.280494943535006,0.00747808103571899,0.275254679318981
28,32,"Guinea Current",156.97120198,156.534240177,-0.00246482536177438,-0.00168872600912169,-0.00200609033716007,-1.51929502433401e-05,0.000681485025303461,-0.00446126882080247,-0.00042804009580054,6.84583097557377e-05,4.48274795787026e-05,0.000108025939975536,0.781083086732469,-0.000381667520158663,0.770540077154198
29,37,"Benguela Current",81.6751243416,128.348959069,-0.00745516701268389,-0.00401018637987932,-0.0188929924674077,1.30852814959354e-05,0.000413744420270723,-1.60137546376107e-06,-0.00023952185039628,7.98698596556632e-05,9.2185466046579e-06,0.000135107550910918,0.340648572507913,-0.0144716214153641,0.296228507688868
30,40,"Agulhas Current",194.802316146,232.569655933,-0.0161357297084003,-0.0046321176684892,-0.00672898171618135,-8.12752241230291e-06,-1.12098905153571e-05,-0.00181910479198869,-0.00355061527058213,0.000326327562352491,1.11804036627805e-05,6.45255177678492e-05,0.880142021177069,0.0440838911051118,0.891742063384726
31,33,"Somali Coastal Current",70.2530544347,68.5710741963,-0.0112337953879049,-0.0106316455976973,-0.00419730128337989,-2.74730437810939e-05,0,-0.00531101668829375,-0.00151304878637669,0.000437057309846012,9.23912065181053e-05,0.000233295911332507,1.00170195062578,0.00560326123424327,0.975153671325219
32,22,"Arabian Sea",200.00884632,333.7834462,-0.00902068929396923,-0.0078592655250947,-0.00738510829265502,2.88075792706145e-05,-3.56783360297115e-05,-0.00392771117374284,-0.00584219488114754,0.000606264815052024,-3.99452995826107e-05,0.000217086744984551,0.458503817327957,-0.00966775891502616,0.415577624442867
33,23,"Red Sea",69.405100556,40.0309910175,-0.0407413728550862,-0.0311362121454954,-0.0135547207266614,7.13302343431403e-05,-0.000245256886010093,-0.000637958682840577,-0.000208225985327913,-0.000672321546082378,-0.000308879612185515,0.000131558447422843,0.101750166378166,0.00198881747743641,0.0164369252668854
34,27,"Bay of Bengal",219.637122077,304.148625172,-0.0122235938206812,-0.0118033005596723,-0.00624439779490906,8.58948894187404e-06,-8.71470633730206e-06,-0.00221586811865176,-0.00263183987827504,0.000771550896656249,6.64284828872749e-05,8.94534246083634e-05,0.62143012652617,-0.00409788245462618,0.583140550838599
35,30,"Gulf of Thailand",46.0178699013,31.8646652723,-0.112014594574728,-0.101576812679169,-0.0494541865932483,-0.000389855008813866,-8.67465038876131e-05,-7.95867946683208e-05,-0.00276239897701711,-5.39499296707056e-05,-0.000160233911802727,0.000970692076997748,0.530327094170104,-0.00612562021691318,0.258593804859546
36,26,"South China Sea",205.956314988,264.397357309,-0.0268682400763827,-0.0271413725218373,-0.0127667004860824,-3.46995668340256e-05,9.80789010709316e-05,-0.00154497453580783,-0.0041250015873279,0.000670452887028468,0.000160287835538563,0.000123188869924534,0.672580068254827,-0.00560288651411607,0.595548206934412
37,29,"Sulu-Celebes Sea",156.109845944,82.9719894869,-0.00401848000345357,-0.00429379639286423,-0.00248594146990142,-0.000162901312840486,-2.52530665977988e-06,-9.14570957078206e-05,-0.00130093331738749,-0.00128272601236494,-0.000125887001244686,0.000830079098527968,1.03601689903203,-0.0228873457314229,1.0001949860631
38,34,"Indonesian Sea",284.654572553,184.897965208,-0.0135256194874006,-0.0112844193979642,-0.00723992905011365,-3.89145469694456e-05,1.80112641574419e-06,-0.000169818741188153,-0.00284621106537205,0.00159038383226485,0.000196624484137712,0.000372086453749544,1.00083508019056,0.00539154314619644,0.973282608237931
39,38,"North Australian Shelf",103.681587973,64.9206989499,-0.00170028097826678,-0.000859708312499459,-0.000626932444892677,-2.12242779741799e-06,0,-9.50162408637445e-05,-0.000436610830523333,0.000573069830358571,3.89827190029852e-05,0.00031943037426589,0.488234413790649,0.0164447025235517,0.501889929915368
40,39,"Northeast Australian Shelf",71.0359948408,109.050873088,-0.000383565110625042,-0.000201430689767223,-0.00105821616371903,-6.92651855649055e-06,0,-6.30210735800818e-05,-0.00145467845701275,9.93271328025883e-05,1.30759584719192e-05,3.55465336714244e-05,1.03469305323555,0.0118457491564228,1.0435189167965
41,42,"East Central Australian Shelf",52.713869716,60.6370155002,-0.000555814975530709,-0.000254886865766383,-0.000490129571540596,1.97542288917758e-05,0,-1.36897550160177e-05,-0.000543753920865611,-0.000190609976886924,2.85264846056278e-05,7.40971269414183e-06,0.70415845845043,0.0439920865872042,0.746157348376661
42,46,"Southeast Australian Shelf",106.976592461,127.89582666,-0.000433743357111414,-0.000304203799170246,-8.56787164122475e-05,2.59885618724722e-06,1.14668199820733e-05,-6.43281061779894e-06,-2.13761533960299e-05,-0.000100212236155769,-3.73980287315564e-05,6.49482914413135e-05,-0.020826618081274,-0.0489513658374058,-0.0706880138757272
43,48,"South West Australian Shelf",86.0917820857,100.611490228,-0.000607680882372866,-0.000641473994121008,-0.000135377458228026,1.00950532898173e-06,0,-1.77781830501256e-05,-3.30772951986005e-05,-0.000123149635048144,-2.79133316306518e-06,8.49009347271665e-05,0.478654526845124,-0.0070895342873482,0.470089574662795
44,49,"West Central Australian Shelf",46.1564249265,53.2019209662,-0.000293196453668824,-0.00036606508023394,-0.000113165744248147,7.1813096869928e-07,0,-0.000965744057178019,-4.72349941646143e-05,-0.000152145599997696,-2.88741273727664e-05,4.85624515528369e-05,1.08012269569673,0.00314455235279233,1.08135010929932
45,41,"Northwest Australian Shelf",69.5862295254,77.3480637124,-0.00121244687043305,-0.000768494321436427,-0.000323604835386089,2.05788236830883e-05,1.60357567193377e-05,-0.000684038217590455,-7.5421470405669e-05,-0.00044082436448624,-3.30371216811517e-05,0.000107595090824656,1.31647549682613,0.012394153971637,1.32547599436918
46,44,"New Zealand Shelf",167.460004981,103.144035896,-0.0530290494677556,-0.0176433189707935,-0.00636597844815013,-4.98975385157042e-05,0,-0.000316459603531855,-0.000279696241055098,-0.000864335876812262,-0.00114797424851507,3.96548195663518e-05,0.0864565075135015,0.000823924006282947,0.00762337644102128
47,18,"East China Sea",105.073242794,72.6529205175,-0.0322970161106605,-0.0288386731256489,-0.0120131541616532,3.12417783405273e-05,-3.72076961157969e-06,-0.00270029214034081,-0.00146105607136519,0.000822120944780775,0.000158804349638438,-0.000219387450094911,0.0948295753946216,0.0292285196652627,0.0475369610022373
48,16,"Yellow Sea",78.7923842408,44.3132494265,-0.0286356079643946,-0.0335010201005533,-0.0137877116225654,0.000178722602347008,-0.000125646535312992,0,-0.000426935892703234,0.00161970215996308,0.000597720777548253,-0.000120529246575315,0.0441351311372335,0.065266506228387,0.035200334473083
49,15,"Kuroshio Current",123.339378667,125.306929211,-0.00991279766585115,-0.00994144938514656,-0.00886405644500357,-0.000119854680076066,0,-0.00132129856801138,-0.00272258424813252,-0.000396525236287542,-0.000130839746946765,-0.000267570051406863,0.149776514897938,0.008724802659573,0.124824342562547
50,7,"Sea of Japan",89.0782788957,106.472323797,-0.00413721129895155,-0.00645146708168668,-0.00113713868358124,-0.000124470669605348,0,0,-0.000702280972393969,-0.000483428965116909,-0.000134621308110601,-0.000131628407430323,0.0637332500182267,-0.0135402714618183,0.0368907311100165
51,8,"Oyashio Current",55.9878855219,61.2565278967,0.00385876792906232,0.000960332294940279,0.00144410045756441,-1.56083044450758e-05,0,0,-0.000324490366727522,0.000112492552256491,-2.94730528572993e-06,-5.25640274878215e-05,0.550393578075424,0.0371246897527095,0.593498346025377
52,2,"Sea of Okhotsk",145.932989028,213.796584333,0.0550552849958631,0.015946736774823,0.0173637084937625,1.93997924931662e-05,-1.15126008284254e-05,0,-4.53831811050501e-05,0.000128051519185632,-2.29166585176037e-05,5.93583954733346e-05,0.39293766864269,0.0322367680090413,0.513667167113384
53,58,"West Bering Sea",92.8922586399,111.532476931,0.0148321449359535,0.00380693666531434,0.0114274099242165,1.17570346245095e-05,0,0,-4.67561970103361e-08,0.000137912506179222,6.96263607249242e-06,5.22767983537858e-05,0.0636648426599705,0.00848266078483473,0.102422853870259
54,66,"Northern Bering - Chukchi Seas",272.470983926,332.631346265,-0.00767610847871216,-0.00272590754016419,0.000122617036408883,1.00845091565529e-05,0,0,-1.8927254770411e-05,0.000204762433132598,1.88900962848101e-05,-0.000112793710388435,-0.130980112642652,0.0512847547456456,-0.0898727364786032
55,63,"Beaufort Sea",478.747079769,292.450949135,-1.41975073854933e-05,-2.50951519825397e-06,0,7.27972408846972e-06,-4.01894058238596e-07,0,0,0.000270883830382563,2.27452949667671e-05,-7.43567234362626e-06,0.0639699458284032,-0.0862431127111091,-0.0219968030238799
56,57,"East Siberian Sea",89.9686448936,187.920184554,-1.94312912349174e-05,-4.318292202813e-06,0,-2.42332380808203e-06,0,0,0,5.14574121137786e-06,5.49135826440699e-08,-0.000125150529107199,-0.28146507267321,0.0568891286766976,-0.224722067358606
57,56,"Laptev Sea",370.641941298,303.977692922,0,0,0,4.02992529945012e-06,0,0,0,1.2763004001423e-05,3.66196829656717e-06,-0.000518598031035139,-0.0240280510596097,0.0201535452198327,-0.00437264968349709
58,55,"Kara Sea",417.116801326,353.201183396,-0.00304057012367279,-0.000183191876310844,-7.57316439538713e-05,2.13511035504869e-05,0,0,0,1.9775418978524e-05,1.28639784847392e-05,-0.000277773725841942,-0.125428789630931,-0.0129151302913866,-0.141867196035349
59,51,"Iceland Shelf and Sea",138.480688598,97.1401215956,-0.0780991062794935,-0.0603263983040734,-0.0407392536614002,3.57207324263936e-05,0,0,-0.0243090396607354,2.58594975306223e-05,2.05690172979844e-07,-0.000197003406442933,-0.0307537688366281,-0.0388184673790636,-0.273181249095522
60,50,"Faroe Plateau",29.0561994456,17.6144005623,-0.14968442819019,-0.0306064192220104,-0.0126841854746891,0.000195079857898953,0,0,-0.00875320559533101,0,0,1.69366276192146e-05,0.069676198510944,-0.0308849047629637,-0.162724930394035
61,47,"Antarctica",1686.15672841,1341.22332028,0.00142413812074433,0,0.00185518490709132,0,0,0,0.00136066755809953,0,0,0,0.0418915031403706,0.00318045945063244,0.0497119534188809
62,11,"Black Sea",84.745092942,51.5342804486,-0.0222253434971421,-0.0191136413379234,-0.0533833677690728,2.38573380095328e-05,-0.000105618926911703,-0.000187476373103364,-0.00583657212365633,0.00241264744090888,0.00182355850480064,-0.000189144078486038,0.239588639665703,-0.0128688519465669,0.129938685967372
63,62,"Hudson Bay Complex",391.717406389,209.464313318,-0.000104974896098601,-1.03893103596142e-05,-2.72162892935622e-06,2.68801262812715e-05,0,0,-1.68453871235735e-07,7.25150785866721e-05,4.07500959314911e-05,7.94466699153226e-05,0.198918081785292,-0.0356813632309747,0.163338052099083
64,65,"Central Arctic",760.568294359,3181.18885474,-0.000458980558450847,-2.28572228918248e-07,-1.34915254160419e-07,0,0,0,0,0,0,0,-0.00169305182903471,0.0020498966156373,-0.000102499792945325
65,59,"Aleutian Islands",71.345688951,28.6336746047,-0.0254283975989798,-0.00418518500977593,-0.00715275051565546,7.325251553662e-06,0,0,-0.000205028928124017,6.15377270743019e-05,7.00523011270511e-06,0.000175636940929814,-0.406338683112344,-0.0337608413760475,-0.476819384012884
66,64,"Canadian High Arctic - North Greenland",1059.50134216,297.732265258,-5.47551029847485e-05,-1.34358277271777e-05,-1.13389967569843e-05,0,0,0,0,2.35035876860593e-05,3.4594340240801e-06,0,-0.0362251822799591,-0.0201829950678999,-0.0564607439864287
