"ECO_CODE","ECOREGION","PROV_CODE","PROVINCE","RLM_CODE","REALM","ALT_CODE","ECO_CODE_X","Lat_Zone","demersal_destructive_fishing","demersal_nondest_high_bycatch","demersal_nondest_low_bycatch","global_cumulative_impact_dif.gri","night_lights","oil_rigs","pelagic_high_bycatch","pelagic_low_bycatch","plumes_fert","plumes_pest","population","sst","uv"
20001,"North Greenland",1,"Arctic",1,"Arctic",8,1,"Polar",-0.00925614517676918,-0.00104888781470964,-0.000245098408110201,-0.0403718960509714,0,0,0,0,1.73438966980256e-05,1.12860620717196e-06,-1.43291750100016e-06,-0.0284428315267897,-0.00139597112344093
20002,"North and East Iceland",1,"Arctic",1,"Arctic",10,2,"Polar",-0.0567724289995094,-0.0297246916665811,-0.0289693246506586,-0.204211302442885,1.84555779372603e-05,0,0,-0.0108572391409523,-1.15119761573935e-05,-2.46089042786682e-08,-1.42896599586303e-05,-0.0931298143359548,0.0152495654863472
20003,"East Greenland Shelf",1,"Arctic",1,"Arctic",7,3,"Polar",-0.0191138854514426,-0.00969764707793996,-0.0105790124424469,-0.24698876193047,3.77022925768472e-06,0,0,-0.000696748307330767,0,0,0.000291519660612669,-0.252925061283078,0.0457283028552029
20004,"West Greenland Shelf",1,"Arctic",1,"Arctic",9,4,"Polar",-0.0381113695722035,-0.00956237607012913,-0.000989635368419454,0.0162326547787357,3.39935636331638e-05,0,0,-9.02564195206726e-06,0,0,0.000365940430487295,0.0568679429808384,0.0076371805666869
20005,"Northern Grand Banks - Southern Labrador",1,"Arctic",1,"Arctic",5,5,"Polar",-0.038791876347272,-0.0224607449397138,-0.00635933370144851,0.0208388349509637,5.82715236289255e-05,0,0,-0.00418337956824498,0.00016260288840891,2.42790131215831e-05,-0.00016744399929752,0.148890389914711,-0.0563339314397235
20006,"Northern Labrador",1,"Arctic",1,"Arctic",6,6,"Polar",-0.030690621841234,-0.00312758640282557,-0.00300184519284283,0.10739169019577,3.22999890068062e-05,0,0,-0.00240860681193674,0.000257530871294411,1.09201168816506e-05,-3.66177775626749e-06,0.126528502028715,0.0197947606520259
20008,"Hudson Complex",1,"Arctic",1,"Arctic",3,8,"Polar",-0.000106102615337671,-1.05054592891343e-05,-2.7617280803802e-06,0.163861356892202,2.71309372600671e-05,0,0,-1.69465374185592e-07,7.98640417169575e-05,4.2930679012269e-05,8.74283643579714e-05,0.200080507382326,-0.0363369610868809
20011,"Beaufort-Amundsen-Viscount Melville-Queen Maud",1,"Arctic",1,"Arctic",19,11,"Polar",-2.44098360018328e-05,-4.31284539717664e-06,0,0.00662418744015524,5.77502675624671e-06,0,0,0,0.000114330910015897,6.21349444299338e-06,7.05199945584904e-05,0.0515942809369495,-0.0451382096439859
20012,"Beaufort Sea - continental coast and shelf",1,"Arctic",1,"Arctic",18,12,"Polar",-9.66155080480569e-06,-1.59032144845968e-06,0,-0.0618009197044659,3.13847448063502e-05,4.02467621401264e-07,0,0,0.00068687220333418,6.5627271200645e-05,-9.34517034615542e-05,0.125758188235913,-0.188238690377963
20013,"Chukchi Sea",1,"Arctic",1,"Arctic",16,13,"Polar",-4.40418686817457e-05,-9.08040274980871e-06,-4.77892257159786e-08,0.0646646976762573,-4.21879739207143e-06,0,0,0,0.000446760729314145,2.56334802717396e-05,1.18973492473031e-05,-0.0199777090990801,0.0842154987580211
