"LME_NUMBER","OBJECTID","LME_NAME","Shape_Leng","Shape_Area","artisanal_fishing_combo","demersal_destructive_fishing_combo","demersal_nondest_high_bycatch_combo","demersal_nondest_low_bycatch_combo","inorganic_combo","night_lights_combo","ocean_acidification_combo","oil_rigs_combo","pelagic_high_bycatch_combo","pelagic_low_bycatch_combo","plumes_fert_combo","plumes_pest_combo","population_combo","sst_combo","uv_combo","global_cumul_impact_2008_all_layers_except_shipping_oceanpollution_invasives"
1,60,"East Bering Sea",148.283217699,189.729414728,9.40871477283522e-06,0.262476665251258,0.0490119490641775,0.0481638117522925,0.0010203844571796,6.98516098066808e-05,0.582357557848285,0,0,0.00208891891646886,0.000923967758621049,7.07121606998766e-05,0.000732592065343771,1.79021581270208,0.738468826374778,3.47561044801514
2,4,"Gulf of Alaska",468.695688344,203.793867511,0.000830167041593165,0.0664273413535011,0.0109882617286714,0.0244187265775797,0.00331679448332877,0.00103249215299181,0.802239367033758,2.36686897426914e-05,0,0.00128033119560377,0.00212684994247365,0.000178589445842975,0.00709986309479515,1.70874411268485,0.670004928949956,3.29871150161185
3,10,"California Current",110.244423248,215.804744389,0.000294749394940287,0.0270490567618203,0.015462724332536,0.0413025666497598,0.00328783605547826,0.000539567300097256,0.965761376585097,0,0.00330842715190732,0.00653571139529807,0.00165256297220394,0.000468102911834337,0.00317079311462797,0.815480730578173,0.682087492433239,2.56640168979684
4,20,"Gulf of California",50.5032369568,20.0876799753,0.00106015275220825,0.0764736090659285,0.0121534619890797,0.148138589783191,0.0167849262679614,0.00105899527639616,0.884184628490284,0,0.00277207963934007,0.00411310470342146,0.0142888750150695,0.00443819061826231,0.0156420281618119,0.99563134636534,0.395873931504108,2.57261392411434
5,21,"Gulf of Mexico",116.221437916,137.234831192,0.000488192746665524,0.090276904053915,0.0487027112738698,0.0472709078965078,0.0124472106081039,0.00180752790224568,0.91451064037887,0.00104900516721783,0.0130665039895294,0.000897411726876832,0.0158808904441287,0.0034020339771485,0.0077967696862806,1.25989829652618,0.525072811558883,2.94256782060656
6,19,"Southeast U.S. Continental Shelf",60.4763047857,28.3566504978,0.00297393690130565,0.100426281045346,0.0322300645916723,0.0324772962578877,0.0255023335061489,0.00382611420238129,0.873022965162747,0,0.00417118455101478,0.000456571315270842,0.0213015574441569,0.00259312602258843,0.0178745941113739,0.840247668013384,0.326267081393651,2.28337077582048
7,12,"Northeast U.S. Continental Shelf",131.06076327,34.4699302913,0.00446236440851739,0.311421388362197,0.127368135608647,0.0925810921430315,0.0285333003058094,0.0105126531198372,0.522744892080544,0,0,0.027385991391231,0.0199139538461904,0.00419152514911822,0.0469800852460283,1.01038747735984,0.516096566291747,2.72257941728481
8,9,"Scotian Shelf",87.605889957,32.8289784535,0.00314769745307556,0.20385862467483,0.188531010430587,0.0883985710217266,0.00906714775735497,0.0047763553359839,0.550111374538016,0,0,0.0571420154536031,0.0050806742500833,0.000257059023782025,0.0212484076383825,1.34097431134411,0.570101635770357,3.04269487887862
9,5,"Labrador - Newfoundland",270.847478624,114.597691045,0.00210890269082148,0.276421869289431,0.130666498080072,0.0451027540958387,0.00455795879450466,0.00193691939807517,0.666846383970811,0.000122176590388069,0,0.0273196064453866,0.00191413422061211,0.00027465517280441,0.0111577172069388,1.32789989902844,0.644936705431018,3.14126618566826
10,24,"Insular Pacific-Hawaiian",72.9214424204,87.0088696678,0.000398927322764402,0.00344098695615599,0.00215656934532902,0.00623750101867408,0.00127743017736682,0.000350199946150139,1.19510082778602,0,0.000378778488536703,0.00136693846298769,0.00118816582863461,0.000121993189265294,0.00148906837050192,1.53376007868535,0.627476717984187,3.37474418805411
