"ECO_CODE","ECOREGION","PROV_CODE","PROVINCE","RLM_CODE","REALM","ALT_CODE","ECO_CODE_X","Lat_Zone","layer.1.1.1.1","layer.2.1.1.1","layer.1.2.1.1","layer.2.2.1.1","layer.1.1.2.1","layer.2.1.2.1","layer.1.2.2.1","layer.2.2.2.1","layer.1.1.1.2","layer.2.1.1.2","layer.1.2.1.2","layer.2.2.1.2","layer.1.1.2.2","layer.2.1.2.2","layer.1.2.2.2","layer.2.2.2.2","layer.1.1","layer.2.1","layer.1.2","layer.2.2"
20001,"North Greenland",1,"Arctic",1,"Arctic",8,1,"Polar",2.97773145575615e-05,0.0460714882514902,0.00343285156775825,0.000754935323392081,1.15120325265119,0,0.00060803514392427,0,0.720885185684406,0.0112568568074071,0,0,0,1.78210010242493e-05,1.12933582317457e-06,0.000119153680036583,0.00919576947171338,0.00634412864558687,0.201440841027325,0.151045277059529
20002,"North and East Iceland",1,"Arctic",1,"Arctic",10,2,"Polar",7.77289414963088e-05,0.157479733323013,0.0941191463374612,0.0979830154054524,3.8420606832702,0.000141561343525017,0.00318072569332445,8.30823874306288e-05,1.00504781388654,0.136886046859814,0,0,0.0226748452348813,0.000357116536132993,3.57848371621377e-07,0.00123675374383761,0.114819745131616,0.00922676552595712,1.72906930231139,0.469676923766076
20003,"East Greenland Shelf",1,"Arctic",1,"Arctic",7,3,"Polar",0.000195332112881155,0.0697197132470405,0.0347326105450675,0.0574317962976906,2.96995277257092,0,0.000634350564998893,2.52364043903048e-05,0.833940970935732,0.0967876622393577,0,0,0.00202873645067955,0,0,0.000800723688826515,0.0649142103741778,0.0613478197002051,1.29776291377458,0.449630668346625
20004,"West Greenland Shelf",1,"Arctic",1,"Arctic",9,4,"Polar",0.00159699961334621,0.187196121761891,0.0341441157185055,0.00397555793448596,3.50942923580102,0,0.0166847804750655,0.000166252805296768,0.734609519627965,0.113598836863725,0,0,2.63560577710635e-05,0,0,0.00511402454541566,0.0821146166260958,0.0991407206243055,1.64999425903796,0.581067018576403
20005,"Northern Grand Banks - Southern Labrador",1,"Arctic",1,"Arctic",5,5,"Polar",0.00207318660275732,0.24675927740303,0.118854112923776,0.0297099448624518,3.89188601782227,0.00318899059138762,0.0165558505081555,0.00195218506196747,0.712032005767688,0.164823612431828,0,0,0.0171964042147491,0.00112451794607309,6.34631854668784e-05,0.0132045099124122,0.15084403724811,0.085127092759826,1.76685282011925,0.561523955820675
20006,"Northern Labrador",1,"Arctic",1,"Arctic",6,6,"Polar",2.85738844606236e-05,0.17446535427155,0.0131678910532727,0.0136542048409516,3.09570586471182,2.52773293959162e-06,0.00367953087733532,0.000166140387887945,0.711323396127872,0.082104906738156,0,0,0.0101369341982343,0.000343600100421119,1.32938819842336e-05,0.000852104109752183,0.0689655406593439,0.130523407743074,1.36563932671206,0.520639089754843
20008,"Hudson Complex",1,"Arctic",1,"Arctic",3,8,"Polar",7.66175488610003e-05,0.000543517690095829,4.29829052103418e-05,1.11557080028778e-05,2.34441118426673,0.00131162575479777,0.00293642534702895,0.000172048448695545,0.322611318196228,0.0330842343146217,0,0,6.60110834696707e-07,0.00251876783636617,0.000586260220373008,0.00147249081493762,0.0294756586185486,0.279752975838088,1.08339075110754,0.586423706796068
20011,"Beaufort-Amundsen-Viscount Melville-Queen Maud",1,"Arctic",1,"Arctic",19,11,"Polar",5.08506550252343e-05,9.63419953826598e-05,1.74454006274482e-05,0,0.838667030918401,3.72041021592436e-06,0.0062553690533546,7.82285647674495e-05,0.370582136343482,0.00639672394797022,0,0,0,0.000256585646794319,1.00531799892684e-05,0.000482076794728675,0.00236213790100584,0.0291750336487584,0.272093784131973,0.150806544024028
20012,"Beaufort Sea - continental coast and shelf",1,"Arctic",1,"Arctic",18,12,"Polar",4.3470539202821e-06,3.51503328326007e-05,6.04210474487967e-06,0,1.18118157522948,2.42234814610921e-05,0.00340302114953918,0.000473710848037786,0.63286867652529,0.00881526854328339,3.17949420906999e-05,0,0,0.00200342476436658,0.000128697429690005,0.000372126447954979,0.00455609081954166,0.0826038964356214,0.312220636626335,0.133634470904083
20013,"Chukchi Sea",1,"Arctic",1,"Arctic",16,13,"Polar",2.56896707578495e-05,4.83930216983347e-05,1.0609266311512e-05,1.03711209625983e-07,2.06616633631918,0.00019460134034822,0.00250791122052341,0.00020566154400208,0.439603668383275,0.0283424216772134,0,0,0,0.000845335011877831,5.47807500496386e-05,0.00135695889231852,0.0223545067124431,0.214289294469544,0.926781352233998,0.429545034737169
