"ECO_CODE","ECOREGION","PROV_CODE","PROVINCE","RLM_CODE","REALM","ALT_CODE","ECO_CODE_X","Lat_Zone","artisanal_fishing_combo","demersal_destructive_fishing_combo","demersal_nondest_high_bycatch_combo","demersal_nondest_low_bycatch_combo","inorganic_combo","night_lights_combo","ocean_acidification_combo","oil_rigs_combo","pelagic_high_bycatch_combo","pelagic_low_bycatch_combo","plumes_fert_combo","plumes_pest_combo","population_combo","sst_combo","uv_combo","global_cumul_impact_2008_all_layers_except_shipping_oceanpollution_invasives"
20001,"North Greenland",1,"Arctic",1,"Arctic",8,1,"Polar",1.4941026671669e-05,0.0270322702048497,0.00214092081703271,0.000487998229539344,0,0,0.351976529611532,0,0,0,2.33000198492508e-07,0,6.20618026984074e-05,0.111927237257332,0.0744450681425429,0.56808726051536
20002,"North and East Iceland",1,"Arctic",1,"Arctic",10,2,"Polar",7.64245910924903e-05,0.203555846973738,0.115099596787199,0.120602420171867,0.000137483816092956,9.83604482953997e-05,0.954667417764567,0,0,0.0318491491707044,0.000357320862015632,3.72812008119961e-07,0.00135213222410504,1.72524922163134,0.431654587301797,3.58470033563498
20003,"East Greenland Shelf",1,"Arctic",1,"Arctic",7,3,"Polar",0.000106047947626385,0.0459223615766576,0.022419994091676,0.0351190674920749,0,1.27581407652688e-05,0.43130138132621,0,0,0.001407264328867,0,0,0.000292629153781638,0.798724117323937,0.208714992751883,1.54402061712482
20004,"West Greenland Shelf",1,"Arctic",1,"Arctic",9,4,"Polar",0.000954938802996092,0.125303957602014,0.0237869867933895,0.00274490506443025,0,8.11607101707388e-05,0.406886081890974,0,0,1.95541529994867e-05,0,0,0.00289688225276693,0.876990030000882,0.317220375127602,1.75688487365752
20005,"Northern Grand Banks - Southern Labrador",1,"Arctic",1,"Arctic",5,5,"Polar",0.00150152532275164,0.195710443654285,0.0944952286646563,0.0246917441895761,0.00233824075722405,0.00176585217463802,0.487520423562019,0,0,0.014623200456795,0.000708975003180343,2.92232559049227e-05,0.0109277616517942,1.10301021502346,0.422944443335034,2.36026728880366
20006,"Northern Labrador",1,"Arctic",1,"Arctic",6,6,"Polar",1.91441493684614e-05,0.118428228254144,0.00915562124123558,0.00958027343423847,1.62571979755598e-06,7.94364186185552e-05,0.410239347275129,0,0,0.00721432384549337,5.3160854482263e-05,1.52839406510287e-06,0.000573248129852086,0.710865358369277,0.288518170231028,1.55472946710331
20008,"Hudson Complex",1,"Arctic",1,"Arctic",3,8,"Polar",3.35590762008284e-05,0.000265462174755267,2.12625162074878e-05,5.66329895389657e-06,0.000545696244374076,6.8622272864375e-05,0.131366463135313,0,0,3.37223619126556e-07,0.00101167004530893,0.000227097313587401,0.00061847708164072,0.357867324225211,0.253408643058557,0.745440275344816
20011,"Beaufort-Amundsen-Viscount Melville-Queen Maud",1,"Arctic",1,"Arctic",19,11,"Polar",1.72149882652593e-05,3.88646920322634e-05,6.82753305405799e-06,0,1.22097556574968e-06,2.8140899448937e-05,0.119077743815798,0,0,0,4.71356991149632e-05,1.29546252105178e-06,0.000148945327541281,0.0708413712897654,0.0630098727846995,0.253218633324964
20012,"Beaufort Sea - continental coast and shelf",1,"Arctic",1,"Arctic",18,12,"Polar",2.10262123788647e-06,1.88937296948154e-05,3.14315917855272e-06,0,1.0328323511942e-05,0.000224257280925272,0.266918858303859,1.56072090955103e-05,0,0,0.000572403231240823,2.79544772160442e-05,0.000227934069334779,0.0783045654986948,0.135879089669641,0.482205136965948
20013,"Chukchi Sea",1,"Arctic",1,"Arctic",16,13,"Polar",1.85978265648596e-05,6.47585586484357e-05,1.35772634199442e-05,1.06139032396052e-07,0.000138173076087957,0.000164051788095886,0.308200381651656,0,0,0,0.000285578722400467,2.08538252336055e-05,0.00103498870313815,0.66144416602295,0.242103085372448,1.21348832269526
