"LME_NUMBER","OBJECTID","LME_NAME","Shape_Leng","Shape_Area","artisanal_fishing_combo","demersal_destructive_fishing_combo","demersal_nondest_high_bycatch_combo","demersal_nondest_low_bycatch_combo","inorganic_combo","night_lights_combo","ocean_acidification_combo","oil_rigs_combo","pelagic_high_bycatch_combo","pelagic_low_bycatch_combo","plumes_fert_combo","plumes_pest_combo","population_combo","sst_combo","uv_combo","global_cumul_impact_2013_all_layers_except_shipping_oceanpollution_invasives_slr"
1,60,"East Bering Sea",148.283217699,189.729414728,9.40871477283522e-06,0.2183744322956,0.035623420963266,0.0373911321094355,0.0010203844571796,7.5546558798827e-05,0.582357557848285,0,0,0.00142403614210294,0.000760614722298696,6.8929516812912e-05,0.00080985698279179,1.12942256710514,0.72597128050332,2.73330916819868
2,4,"Gulf of Alaska",468.695688344,203.793867511,0.000830167041593165,0.0517920849061229,0.00822751068912018,0.0191923434932784,0.00331679448332877,0.00109220430704659,0.802239367033758,2.10175011226174e-05,0,0.00106597957357985,0.00187185965721576,0.000166582108277917,0.0069588609961754,0.775085646629681,0.700855251555366,2.37271567803144
3,10,"California Current",110.244423248,215.804744389,0.000294749394940287,0.0258712835910183,0.014601082421014,0.039211892503556,0.00328783605547826,0.000521164549145942,0.965761376585097,0,0.00314866958620553,0.00521768514397803,0.00159706967920153,0.000476584528109221,0.00315440526426992,0.548141826980353,0.700802864480499,2.31208848661236
4,20,"Gulf of California",50.5032369568,20.0876799753,0.00106015275220825,0.0737154367296274,0.0116465791405497,0.144435549419921,0.0167849262679614,0.00106270237555883,0.884184628490284,0,0.00265316247191757,0.00393827505406843,0.014836297427101,0.00673807073973314,0.0160862685299426,1.36668411811329,0.384571995882386,2.92839817071438
5,21,"Gulf of Mexico",116.221437916,137.234831192,0.000488192746665524,0.082369630474778,0.0446019919952176,0.0425187439466322,0.0124472106081039,0.00175064158515965,0.91451064037887,0.00106413004957441,0.0114813633211813,0.000748065020612971,0.0152570925042977,0.0037716478519584,0.00768476310561372,1.40693209993706,0.533382929872038,3.07900914594371
6,19,"Southeast U.S. Continental Shelf",60.4763047857,28.3566504978,0.00297393690130565,0.0872501861693828,0.0265633325630836,0.0276296154483759,0.0255023335061489,0.00359174240957469,0.873022965162747,0,0.00334515503590652,0.000366980612491114,0.0199228523118082,0.00240898190540272,0.0174315832270577,1.03445351355995,0.330135659514714,2.454598836415
7,12,"Northeast U.S. Continental Shelf",131.06076327,34.4699302913,0.00446236440851739,0.275857089290005,0.108738718052637,0.0810439209598657,0.0285333003058094,0.00997496637780998,0.522744892080544,0,0,0.0228104435773141,0.018936546871682,0.00407007177186007,0.0465849443043601,1.12398506556055,0.467720226932376,2.71546254374137
8,9,"Scotian Shelf",87.605889957,32.8289784535,0.00314769745307556,0.173219536450752,0.159331752807897,0.0753717898528441,0.00906714775735497,0.00454856604395839,0.550111374538016,0,0,0.0470897747938142,0.00466289174715434,0.000300281184233019,0.0210848903894917,1.54948646683122,0.551054845925315,3.14847701096947
9,5,"Labrador - Newfoundland",270.847478624,114.597691045,0.00210890269082148,0.235310324342059,0.108219818461677,0.0370871731092559,0.00455795879450466,0.00196492328842969,0.666846383970811,0.000116885478205909,0,0.0219327740029991,0.00213092910425717,0.000333114550656353,0.011031022405685,1.5739739521997,0.604679333777807,3.27029350258384
10,24,"Insular Pacific-Hawaiian",72.9214424204,87.0088696678,0.000398927322764402,0.00291289091041759,0.00177235260799221,0.00559569927141552,0.00127743017736682,0.000328107208829512,1.19510082778602,0,0.000356121730079853,0.00111867909842389,0.00143410142062111,0.00017818524253596,0.00145489450813744,1.32166948711204,0.666218054162825,3.19981576252989
11,28,"Pacific Central-American Coastal",153.151882822,165.397392268,0.00150352639862893,0.0564367185094196,0.0151395385579286,0.0348841554126582,0.00843404458684575,0.000377904675157416,0.971287042348703,0,0.0154422881093672,0.00711282825318174,0.00661679144338781,0.00283090361593278,0.0051565164194456,1.14439174482028,0.642520439994476,2.91213443734942
12,25,"Caribbean Sea",269.198583695,276.603751656,0.00207129559735702,0.0327216592538733,0.0222535738622607,0.0144671344849794,0.00977806337259969,0.00137944223692085,1.10606834583557,2.24631479359584e-05,0.00321917880433169,0.000990802932168263,0.00635623283008575,0.00193418577475234,0.0103050044457938,1.8176098634377,0.522086967673184,3.55126421378543
